Phone Number,Group,Overall Status,T-Mobile,AT&T,3rd Party,Last Checked
"6502067383","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:10 PM"
"5627325848","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:00 PM"
"5619422592","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:00 PM"
"4155065285","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:17 PM"
"6615190853","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:23 PM"
"9254452003","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:42:15 PM"
"9543807175","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:45:08 PM"
"3862848087","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:18 PM"
"7547648385","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:18 PM"
"2149451828","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:39:40 PM"
"7869374378","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:44 PM"
"3105796937","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:42:52 PM"
"4093059486","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:40:34 PM"
"5612031647","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:40:49 PM"
"8638848427","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:42:04 PM"
"4424553607","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:40:50 PM"
"9413376131","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:30 PM"
"3862848172","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:18 PM"
"7869376742","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:44 PM"
"6508871761","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:44:12 PM"
"8135780649","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:54 PM"
"9418553868","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:42:15 PM"
"9254453038","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:44:57 PM"
"4093059596","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:40:34 PM"
"4157896724","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:40:34 PM"
"3055649604","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:38:57 PM"
"3865188813","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:40:20 PM"
"9035824781","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:42:05 PM"
"8189400032","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:42:04 PM"
"3232075804","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:40:06 PM"
"3109298978","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:54 PM"
"7145920856","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:21 PM"
"8188581947","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:35 PM"
"7542256044","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:32 PM"
"4155067851","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:17 PM"
"3056308739","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:38:57 PM"
"8055195585","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:35 PM"
"5104801032","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:43 PM"
"7148685804","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:22 PM"
"6266280637","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:11 PM"
"5627427553","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:00 PM"
"3109554380","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:40:07 PM"
"4156394601","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:33 PM"
"5105927030","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:43 PM"
"9259055266","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:44:58 PM"
"3467380946","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:40:20 PM"
"2137822639","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:42:41 PM"
"5626258715","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:00 PM"
"7473775060","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:32 PM"
"6576780047","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:10 PM"
"8185336331","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:36 PM"
"5626147888","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:00 PM"
"4157977684","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:40:34 PM"
"5105927068","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:43 PM"
"2137822887","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:42:41 PM"
"6269974556","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:43:59 PM"
"7545473631","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:32 PM"
"9515764723","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:58 PM"
"3863477730","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:40:20 PM"
"7274281807","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:21 PM"
"9365710479","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:42:15 PM"
"7869374859","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:44 PM"
"5628253843","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:43:59 PM"
"7146945390","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:23 PM"
"4083376306","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:03 PM"
"6269973114","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:44:00 PM"
"3235937648","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:42:51 PM"
"2137871827","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:40 PM"
"4154839694","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:17 PM"
"9418553913","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:42:15 PM"
"9546175706","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:30 PM"
"4155068934","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:43:16 PM"
"7543204052","Yosi Nuri","Spam","false","true","false","10/3/2025, 4:41:31 PM"
"8318428207","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:42:04 PM"
"7869578097","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:39:30 PM"
"7545297594","Yosi Nuri","Clean","false","false","false","10/3/2025, 4:41:32 PM"
