Area Code,State,Area Code +1
239,Florida,1239
305,Florida,1305
321,Florida,1321
352,Florida,1352
386,Florida,1386
407,Florida,1407
561,Florida,1561
727,Florida,1727
754,Florida,1754
772,Florida,1772
786,Florida,1786
813,Florida,1813
850,Florida,1850
863,Florida,1863
904,Florida,1904
941,Florida,1941
954,Florida,1954
209,California,1209
213,California,1213
279,California,1279
310,California,1310
323,California,1323
408,California,1408
415,California,1415
424,California,1424
442,California,1442
510,California,1510
530,California,1530
559,California,1559
562,California,1562
619,California,1619
626,California,1626
628,California,1628
650,California,1650
657,California,1657
661,California,1661
669,California,1669
707,California,1707
714,California,1714
747,California,1747
760,California,1760
805,California,1805
818,California,1818
820,California,1820
831,California,1831
858,California,1858
909,California,1909
916,California,1916
925,California,1925
949,California,1949
951,California,1951
205,Alabama,1205
251,Alabama,1251
256,Alabama,1256
334,Alabama,1334
938,Alabama,1938
907,Alaska,1907
480,Arizona,1480
520,Arizona,1520
602,Arizona,1602
623,Arizona,1623
928,Arizona,1928
327,Arkansas,1327
479,Arkansas,1479
501,Arkansas,1501
870,Arkansas,1870
303,Colorado,1303
719,Colorado,1719
720,Colorado,1720
970,Colorado,1970
983,Colorado,1983
203,Connecticut,1203
475,Connecticut,1475
860,Connecticut,1860
959,Connecticut,1959
302,Delaware,1302
202,District of Columbia,1202
229,Georgia,1229
404,Georgia,1404
470,Georgia,1470
478,Georgia,1478
678,Georgia,1678
706,Georgia,1706
762,Georgia,1762
770,Georgia,1770
912,Georgia,1912
808,Hawaii,1808
208,Idaho,1208
986,Idaho,1986
217,Illinois,1217
224,Illinois,1224
309,Illinois,1309
312,Illinois,1312
331,Illinois,1331
447,Illinois,1447
464,Illinois,1464
618,Illinois,1618
630,Illinois,1630
708,Illinois,1708
773,Illinois,1773
779,Illinois,1779
815,Illinois,1815
847,Illinois,1847
872,Illinois,1872
219,Indiana,1219
260,Indiana,1260
317,Indiana,1317
463,Indiana,1463
574,Indiana,1574
765,Indiana,1765
812,Indiana,1812
930,Indiana,1930
319,Iowa,1319
515,Iowa,1515
563,Iowa,1563
641,Iowa,1641
712,Iowa,1712
316,Kansas,1316
620,Kansas,1620
785,Kansas,1785
913,Kansas,1913
270,Kentucky,1270
364,Kentucky,1364
502,Kentucky,1502
606,Kentucky,1606
859,Kentucky,1859
225,Louisiana,1225
318,Louisiana,1318
337,Louisiana,1337
504,Louisiana,1504
985,Louisiana,1985
207,Maine,1207
227,Maryland,1227
240,Maryland,1240
301,Maryland,1301
410,Maryland,1410
443,Maryland,1443
667,Maryland,1667
339,Massachusetts,1339
351,Massachusetts,1351
413,Massachusetts,1413
508,Massachusetts,1508
617,Massachusetts,1617
774,Massachusetts,1774
781,Massachusetts,1781
857,Massachusetts,1857
978,Massachusetts,1978
231,Michigan,1231
248,Michigan,1248
269,Michigan,1269
313,Michigan,1313
517,Michigan,1517
586,Michigan,1586
616,Michigan,1616
679,Michigan,1679
734,Michigan,1734
810,Michigan,1810
906,Michigan,1906
947,Michigan,1947
989,Michigan,1989
218,Minnesota,1218
320,Minnesota,1320
507,Minnesota,1507
612,Minnesota,1612
651,Minnesota,1651
763,Minnesota,1763
952,Minnesota,1952
228,Mississippi,1228
601,Mississippi,1601
662,Mississippi,1662
769,Mississippi,1769
314,Missouri,1314
417,Missouri,1417
557,Missouri,1557
573,Missouri,1573
636,Missouri,1636
